tic_id,hostname,st_rad,st_raderr1,st_raderr2,st_mass,st_masserr1,st_masserr2,st_teff,st_tefferr1,st_tefferr2,sy_dist,pl_letter,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_rade,pl_radeerr1,pl_radeerr2,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmassprov,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,tran_flag,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2
"TIC 138359318","WTS-2",0.752000,0.032000,-0.032000,0.820000,0.082000,-0.082000,5000.00,250.00,-250.00,1030.76834437,"b",1.01870680000,0.00000065000,-0.00000065000,15.27786700,0.68374900,-0.68374900,355.96960000,50.85280000,-50.85280000,"Mass",83.55000,0.53000,-0.53000,0.000000,,,1,2454317.81333000,0.00065000,-0.00065000
"TIC 152701771","K2-242",0.370000,0.010000,-0.010000,0.380000,0.010000,-0.010000,3459.00,65.00,-38.00,109.23700000,"b",6.51389000000,0.00082000000,-0.00083000000,2.54000000,0.21000000,-0.19000000,6.99000000,,,"M-R relationship",,,,,,,1,2457586.24000000,0.00540000,-0.00540000
"TIC 377910183","Kepler-1756",0.812000,0.027000,-0.058000,0.781000,0.051000,-0.025000,4915.00,78.00,-88.00,,"b",2.35575008400,,,1.47199944,,,2.77000000,,,"M-R relationship",86.77000,,,0.000000,,,1,2455010.88996000,0.00292000,-0.00292000
"TIC 12785571","EPIC 206042996",0.500000,0.040000,-0.040000,0.565000,0.053000,-0.053000,4114.00,99.00,-99.00,451.76900000,"c",0.35488400000,0.00006300000,-0.00006300000,1.20000000,0.20000000,-0.10000000,1.87000000,,,"M-R relationship",89.90000,20.00000,-10.00000,,,,1,2457007.06827000,0.00200000,-0.00170000
"TIC 271158887","Kepler-857",0.990000,0.247000,-0.099000,0.990000,0.075000,-0.066000,5773.00,125.46,-173.80,983.50200000,"b",85.35129427000,0.00009562000,-0.00009562000,6.80000000,1.70000000,-0.68000000,37.20000000,,,"M-R relationship",89.97000,,,0.000000,,,1,2454994.00932600,0.00088200,-0.00088200
"TIC 39554091","HD 176986",0.782000,0.035000,-0.035000,0.789000,0.019000,-0.019000,4931.00,77.00,-77.00,27.78430000,"b",6.48980000000,0.00086000000,-0.00086000000,2.26000000,,,5.74000000,0.66000000,-0.66000000,"Msini",,,,0.066000,0.066000,-0.066000,0,,,
"TIC 138479461","Kepler-1740",0.905000,0.121000,-0.052000,0.943000,0.052000,-0.063000,5705.00,76.00,-76.00,1061.77000000,"b",8.17240047500,,,3.32321414,,,11.00000000,,,"M-R relationship",82.80000,,,0.000000,,,1,2455194.20248000,0.00221000,-0.00221000
"TIC 271762145","Kepler-713",0.990000,0.195000,-0.115000,0.980000,0.111000,-0.077000,5785.00,265.49,-233.97,1089.87000000,"b",7.41114100000,0.00001344000,-0.00001344000,2.48000000,0.50000000,-0.29000000,6.71000000,,,"M-R relationship",87.54000,,,0.000000,,,1,2455008.34658000,0.00149000,-0.00149000
"TIC 165796397","HD 67087",1.550000,0.320000,-0.320000,1.360000,0.040000,-0.040000,6330.00,47.00,-47.00,76.52170000,"c",2374.00000000000,193.00000000000,-156.00000000000,12.90000000,,,1540.00000000,3180.00000000,-1150.00000000,"Msini",,,,0.760000,0.170000,-0.240000,0,,,
"TIC 161062394","CoRoT-35",1.650000,0.100000,-0.110000,1.010000,0.070000,-0.060000,6390.00,130.00,-130.00,1123.21000000,"b",3.22748000000,0.00008000000,-0.00008000000,18.83108758,1.23298788,-1.23298788,349.61124770,117.59651059,-117.59651059,"Mass",84.10000,0.10000,-0.10000,0.000000,,,1,2456074.24150000,0.00180000,-0.00180000
