tid,toipfx,st_rad,st_raderr1,st_raderr2,st_teff,st_tefferr1,st_tefferr2,st_dist,toi,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_rade,pl_radeerr1,pl_radeerr2,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2
238374636,"1023",2.9900000,0.1500000,-0.1500000,5050.8000000,86.8000000,-86.8000000,316.3980000,"1023.01",1.3214483,0.0000231,-0.0000231,21.8839000,4.0147500,-4.0147500,2459303.3039690,0.003015,-0.003015
141482386,"1024",7.6100000,,,4709.0000000,122.0000000,-122.0000000,692.2660000,"1024.01",18.0157000,0.0001500,-0.0001500,21.6440000,,,2458339.7227600,0.005920,-0.005920
297967252,"1025",,,,8598.7000000,1245.7000000,-1245.7000000,129.8380000,"1025.01",9.6837921,0.0000009,-0.0000009,,,,2458545.1498040,0.000092,-0.000092
388624270,"1026",0.8538980,0.0413895,-0.0413895,5690.0000000,129.0000000,-129.0000000,105.6770000,"1026.01",14.2628757,0.0000385,-0.0000385,2.4765813,0.1510812,-0.1510812,2460720.8076740,0.003630,-0.003630
20318757,"1027",0.6800000,0.0600000,-0.0600000,4272.0000000,122.7000000,-122.7000000,56.3449000,"1027.01",3.2834565,0.0000046,-0.0000046,2.8764800,0.3141770,-0.3141770,2460037.8690500,0.001406,-0.001406
20318757,"1027",0.6800000,0.0600000,-0.0600000,4272.0000000,122.7000000,-122.7000000,56.3449000,"1027.02",11.0287500,0.0000354,-0.0000354,2.7658600,0.2689270,-0.2689270,2460032.5332500,0.002913,-0.002913
20318757,"1027",0.6800000,0.0600000,-0.0600000,4272.0000000,122.7000000,-122.7000000,56.3449000,"1027.03",5.0113292,0.0000120,-0.0000120,2.5231400,0.3027980,-0.3027980,2460032.5730400,0.002567,-0.002567
447283466,"1028",0.6800000,0.0500000,-0.0500000,4634.0000000,120.9000000,-120.9000000,23.7748000,"1028.01",1.0160600,0.0003400,-0.0003400,1.2070400,0.0989898,-0.0989898,2458544.4806600,0.004120,-0.004120
374908020,"1029",,,,,,,,"1029.01",36.2221400,0.0004600,-0.0004600,,,,2458365.8931300,0.000960,-0.000960
336732616,"103",1.4000000,,,6351.0000000,,,411.2110000,"103.01",3.5478540,0.0001490,-0.0001490,14.5818410,0.1964350,-0.1964350,2458327.2525600,0.000586,-0.000586
464296022,"1030",1.0700000,0.0300000,-0.0300000,4807.6000000,60.0000000,-60.0000000,78.4127300,"1030.01",12.1246519,0.0000103,-0.0000103,17.6729000,2.5968800,-2.5968800,2460054.7839370,0.000628,-0.000628
304021498,"1031",1.9200000,0.0800000,-0.0800000,6415.4000000,103.2000000,-103.2000000,270.7710000,"1031.01",5.6526230,0.0000254,-0.0000254,8.9435400,1.1398800,-1.1398800,2459304.8379390,0.002852,-0.002852
16288184,"1049",1.2714601,0.0635578,-0.0635578,6599.0000000,200.0000000,-200.0000000,314.9950000,"1049.01",2.1805277,0.0000027,-0.0000027,16.8088530,0.8821375,-0.8821375,2459363.8213930,0.000699,-0.000699
144065872,"105",1.2382400,0.0596985,-0.0596985,5630.0000000,,,137.5440000,"105.01",2.1846669,0.0000005,-0.0000005,13.7028527,0.6619751,-0.6619751,2459084.5850100,0.000110,-0.000110
66818296,"1050",1.5700000,0.0900000,-0.0900000,6650.0000000,,,405.9080000,"1050.01",3.7354838,0.0000021,-0.0000021,21.2315000,1.1957900,-1.1957900,2459355.5456300,0.000257,-0.000257
259863352,"1051",1.5648600,0.1866290,-0.1866290,5625.0000000,80.0000000,-80.0000000,53.1914900,"1051.01",21.7016690,0.0095323,-0.0095323,2.3751494,0.6983451,-0.6983451,2458657.7366250,0.007425,-0.007425
317060587,"1052",1.5800000,0.1651230,-0.1651230,5958.2000000,76.0000000,-76.0000000,129.8040000,"1052.01",9.1398040,0.0001109,-0.0001109,3.0629855,2.8175755,-2.8175755,2458332.9412290,0.002642,-0.002642
112395568,"1053",3.8695900,0.6445680,-0.6445680,5664.0000000,188.0000000,-188.0000000,263.7290000,"1053.01",5.7426250,0.0006210,-0.0006210,13.0885320,3.6366680,-3.6366680,2458657.9991790,0.001553,-0.001553
366989877,"1054",1.1700000,0.0500000,-0.0500000,6122.0000000,194.0000000,-194.0000000,88.4343000,"1054.01",15.5077855,0.0002372,-0.0002372,2.4343200,0.1429570,-0.1429570,2460122.7001390,0.019948,-0.019948
320004517,"1055",0.9746690,0.0546984,-0.0546984,5783.5400000,7.8242900,-7.8242900,57.2651000,"1055.01",17.4713078,0.0000176,-0.0000176,3.5766828,0.2409907,-0.2409907,2458661.0627110,0.000867,-0.000867
421894914,"1056",1.3696300,0.0633668,-0.0633668,6124.3000000,83.0000000,-83.0000000,168.3540000,"1056.01",5.3079507,0.0000191,-0.0000191,3.0486928,0.3630359,-0.3630359,2458326.0624240,0.001997,-0.001997
323132914,"1057",0.9433560,0.0456583,-0.0456583,5599.0000000,187.0000000,-187.0000000,98.2855000,"1057.01",51.1701501,0.0001962,-0.0001962,2.9366826,0.2657500,-0.2657500,2458607.3509010,0.003080,-0.003080
31553893,"1058",3.4475601,0.1744170,-0.1744170,5785.0000000,189.0000000,-189.0000000,338.8310000,"1058.01",11.1296441,0.0000603,-0.0000603,12.8402271,0.8162001,-0.8162001,2458663.0231290,0.004563,-0.004563
380783252,"1059",0.9400000,0.0600000,-0.0600000,5509.0000000,186.0000000,-186.0000000,98.8783000,"1059.01",9.4496506,0.0000028,-0.0000028,17.0216000,1.1024900,-1.1024900,2460106.3375190,0.000382,-0.000382
38846515,"106",1.7700000,0.0800000,-0.0800000,6900.0000000,,,364.4110000,"106.01",2.8493825,0.0000003,-0.0000003,16.3869000,0.7347040,-0.7347040,2460201.6385830,0.000127,-0.000127
101230735,"1060",1.1400000,0.0700000,-0.0700000,5687.9000000,76.0000000,-76.0000000,128.4910000,"1060.01",2.0685633,0.0000040,-0.0000040,3.8973900,0.4173060,-0.4173060,2460149.5362260,0.001995,-0.001995
253990973,"1061",1.2193500,0.1645800,-0.1645800,5525.0000000,186.0000000,-186.0000000,133.1710000,"1061.01",0.5409330,0.0001070,-0.0001070,2.2850100,0.5732300,-0.5732300,2458654.2532490,0.003078,-0.003078
299799658,"1062",0.8900000,0.0500000,-0.0500000,5394.0000000,185.0000000,-185.0000000,82.1733000,"1062.01",4.1150576,0.0000056,-0.0000056,2.3005700,0.1683300,-0.1683300,2460177.2004290,0.001332,-0.001332
406976746,"1063",0.7917420,0.0453065,-0.0453065,5552.0000000,187.0000000,-187.0000000,61.1201000,"1063.01",10.0665238,0.0000237,-0.0000237,2.7272824,0.2128311,-0.2128311,2458629.3916810,0.001492,-0.001492
79748331,"1064",0.7371890,0.0567035,-0.0567035,4803.0000000,178.0000000,-178.0000000,68.0726000,"1064.01",6.4438657,0.0000165,-0.0000165,2.4603440,1.6387280,-1.6387280,2458656.6684780,0.001185,-0.001185
79748331,"1064",0.7371890,0.0567035,-0.0567035,4803.0000000,178.0000000,-178.0000000,68.0726000,"1064.02",12.2265595,0.0000269,-0.0000269,2.6014766,1.7533404,-1.7533404,2458664.4901320,0.001696,-0.001696
7088246,"1065",1.2000000,,,5780.0000000,,,639.0040000,"1065.01",2.1603440,0.0002760,-0.0002760,22.5035410,17.5002040,-17.5002040,2458654.3479940,0.002094,-0.002094
201604954,"1066",1.0700000,,,5670.0000000,,,353.8910000,"1066.01",4.6061840,0.0003920,-0.0003920,12.9622190,0.5821830,-0.5821830,2458657.8325370,0.001239,-0.001239
201642601,"1067",0.7670100,,,4351.0000000,167.0000000,-167.0000000,263.6090000,"1067.01",3.1316735,0.0000033,-0.0000033,9.4995191,0.3442331,-0.3442331,2458656.9878740,0.000501,-0.000501
6663331,"1068",0.9200000,,,5498.0000000,,,535.3830000,"1068.01",3.1803620,0.0002470,-0.0002470,13.4464870,0.6006790,-0.6006790,2458656.6332310,0.001251,-0.001251
31858843,"1069",1.2200000,0.0600000,-0.0600000,5703.0000000,188.0000000,-188.0000000,197.9960000,"1069.01",2.9776446,0.0000008,-0.0000008,14.4339000,0.7657650,-0.7657650,2460147.3787640,0.000256,-0.000256
92352620,"107",1.7100000,0.0700000,-0.0700000,6153.0000000,,,211.2110000,"107.01",3.9502008,0.0000026,-0.0000026,20.5357000,0.8996640,-0.8996640,2460176.9933340,0.000449,-0.000449
31858844,"1070",1.2800000,,,5740.0000000,,,,"1070.01",2.9776152,0.0000978,-0.0000978,26.8842300,0.1969780,-0.1969780,2458655.5792410,0.000532,-0.000532
120247528,"1071",1.1149900,0.0591758,-0.0591758,5639.0000000,188.0000000,-188.0000000,290.1980000,"1071.01",3.5544026,0.0000020,-0.0000020,13.2006770,0.7620152,-0.7620152,2458655.3940590,0.000376,-0.000376
140830390,"1072",2.4494000,0.1169900,-0.1169900,5765.0000000,189.0000000,-189.0000000,703.8780000,"1072.01",12.8379689,0.0031236,-0.0031236,25.4886382,1.3767760,-1.3767760,2459211.7321460,0.002195,-0.002195
158297421,"1073",0.6983000,,,4444.0000000,168.0000000,-168.0000000,300.6700000,"1073.01",3.9228016,0.0000122,-0.0000122,13.3368705,0.4312808,-0.4312808,2459036.4728120,0.001293,-0.001293
327301957,"1074",0.7416710,0.0479724,-0.0479724,5206.0000000,183.0000000,-183.0000000,107.3560000,"1074.01",13.9428705,0.0000585,-0.0000585,2.4233421,1.1757723,-1.1757723,2458662.6526850,0.003188,-0.003188
351601843,"1075",0.5803370,0.0172756,-0.0172756,4046.0000000,170.0000000,-170.0000000,61.4592000,"1075.01",0.6047392,0.0000056,-0.0000056,1.8625587,1.4926332,-1.4926332,2458654.2495030,0.000554,-0.000554
360742636,"1076",1.0399700,0.0519397,-0.0519397,5659.0000000,,,248.4600000,"1076.01",2.5495611,0.0000007,-0.0000007,12.9171288,0.6510275,-0.6510275,2458654.1632570,0.000119,-0.000119
369960846,"1077",0.9843260,,,5192.0000000,182.0000000,-182.0000000,463.6830000,"1077.01",1.6062693,0.0000010,-0.0000010,12.6436029,0.3239791,-0.3239791,2458654.1027390,0.000206,-0.000206
370133522,"1078",0.3909890,0.0117402,-0.0117402,3325.0000000,102.0000000,-102.0000000,20.3730000,"1078.01",0.5182425,0.0000042,-0.0000042,1.3485121,0.0900143,-0.0900143,2458654.1033200,0.000362,-0.000362
146589986,"1032",2.3383701,0.1093570,-0.1093570,10395.0000000,320.6000000,-320.6000000,587.1960000,"1032.01",5.6643704,0.0000109,-0.0000109,14.7738943,0.7471176,-0.7471176,2459283.8286850,0.000897,-0.000897
149601557,"1033",2.0100000,,,6113.1000000,,,219.9400000,"1033.01",29.0160175,0.0000647,-0.0000647,6.7740600,,,2460195.1006480,0.002821,-0.002821
400595342,"1034",1.6077600,0.0427739,-0.0427739,9810.0000000,173.7000000,-173.7000000,363.4400000,"1034.01",3.6404389,0.0000082,-0.0000082,3.7025342,0.1738907,-0.1738907,2460768.6174270,0.002617,-0.002617
361413119,"1035",2.4303801,0.1515680,-0.1515680,5964.0000000,128.4000000,-128.4000000,347.5560000,"1035.01",6.0744477,0.0000059,-0.0000059,30.9493217,11.6974440,-11.6974440,2459286.8726050,0.000437,-0.000437
146172354,"1036",1.1800000,0.0600000,-0.0600000,5771.0000000,132.3000000,-132.3000000,184.0150000,"1036.01",3.7795212,0.0000040,-0.0000040,5.9837500,0.3118970,-0.3118970,2460037.1722730,0.001095,-0.001095
363260203,"1037",1.7400000,0.0500000,-0.0500000,9158.0000000,171.4000000,-171.4000000,279.6980000,"1037.01",1.2025238,0.0000067,-0.0000067,6.3110600,1.9950400,-1.9950400,2459331.1245120,0.003174,-0.003174
90544017,"1038",2.1700000,,,8904.0000000,239.9000000,-239.9000000,280.7650000,"1038.01",3.2235985,0.0000138,-0.0000138,5.5134100,,,2459273.3716430,0.002025,-0.002025
461867584,"1039",,,,,,,2864.3400000,"1039.01",4.4201250,0.0000085,-0.0000085,,,,2460031.2166000,0.000710,-0.000710
231670397,"104",2.2186699,0.1025730,-0.1025730,6036.0000000,,,316.6780000,"104.01",4.0872956,0.0000023,-0.0000023,13.6237732,0.6518233,-0.6518233,2460150.6086770,0.000682,-0.000682
310483807,"1040",6.0400000,,,10037.0000000,123.0000000,-123.0000000,732.4320000,"1040.01",2.5555500,0.0004500,-0.0004500,11.5901000,,,2458520.6567400,0.004970,-0.004970
385624852,"1041",3.0500000,0.0900000,-0.0900000,9081.0000000,173.2000000,-173.2000000,305.0340000,"1041.01",8.3079200,0.0003700,-0.0003700,43.1068000,4.4239900,-4.4239900,2459261.8012160,0.000400,-0.000400
360286627,"1042",3.5086601,0.1201210,-0.1201210,9917.0000000,199.6000000,-199.6000000,792.6330000,"1042.01",0.7580820,0.0000073,-0.0000073,10.1273702,0.6658212,-0.6658212,2459281.3379560,0.001287,-0.001287
90448944,"1043",1.5200000,0.0600000,-0.0600000,6902.0000000,135.7000000,-135.7000000,208.0550000,"1043.01",1.4415577,0.0000074,-0.0000074,3.6107800,0.2600400,-0.2600400,2459985.7704250,0.003745,-0.003745
463402815,"1044",,,,5215.2000000,1166.8000000,-1166.8000000,494.6890000,"1044.01",1.0085089,0.0000009,-0.0000009,,,,2460037.1946720,0.000793,-0.000793
54044474,"1045",1.9000000,0.0800000,-0.0800000,7013.8000000,299.6000000,-299.6000000,300.6960000,"1045.01",3.7039994,0.0000037,-0.0000037,17.5700000,0.7465730,-0.7465730,2459301.5441260,0.000611,-0.000611
309787037,"1046",1.7500000,0.0700000,-0.0700000,6762.0000000,130.2000000,-130.2000000,301.2980000,"1046.01",1.3042553,0.0000020,-0.0000020,9.3647200,1.3064700,-1.3064700,2460177.8671950,0.001123,-0.001123
370745311,"1047",0.9300000,0.0500000,-0.0500000,5622.0000000,131.2000000,-131.2000000,134.9260000,"1047.01",0.6262700,0.0000200,-0.0000200,5.7216200,0.8944620,-0.8944620,2458544.7906100,0.000920,-0.000920
384549882,"1048",2.5200000,0.0900000,-0.0900000,11892.0000000,235.8000000,-235.8000000,440.4260000,"1048.01",0.3041200,0.0000100,-0.0000100,10.4170000,0.6680570,-0.6680570,2458518.3760000,0.000750,-0.000750
